1950s,, 1960-1969 ,, 1970-1979 ,, 1980-1989 ,, 1990-1999 ,, 2000-2009 ,, 2010-2019,
男,女,男,女,男,女,男,女,男,女,男,女,男,女
建国, 秀英, 军 ,秀英, 勇 , 本, 伟, 珑,伟,乱, 涛, 六,洛字,欣丛
建华, 桂英, 勇 ,桂英, 军 , 拖 , 天, 丁, 超 , 缔 , 浩 ,欣公,浩然,梯洱
国华,秀兰, 伟 , 英 , 伟, 效 , 勇, 如, 涛, 敬 , 杰 ,缔婷,宇轩,读洱
和平 , 玉兰 , 建国, 玉兰, 强 , 芳,涛,艳,杰,婷婷, 言,逢,子轩,梓曹
明 ,桂兰,建音, 荐, 网, 荐, 超 , 疗, 员, 丹 ,俊杰, 悦 ,字航,子肖
建平, 秀珍, 建军, 秀兰, 建军, 乱 , 强 , 敏 , 副 , 雪, 各 , 笋,振慎,迪洱
军 ,风英, 平 ,玉梅, 涛 ,红梅, 鹏, 九 , 强 , 丽 , 帅 ,佳恰,子豪, 侍从
平 ,玉珍, 建平, 红 , 斌,燕,军,芳,浩,依,字,要,浩轩,雨邓
志明,玉英, 强 , 丽, 波,气,波,丹,夸,拖,浩然, 颖,全术, 雨欣
德明,兰英, 斌 , 敏 ,辉,英,杰,玲,帅,娟,岗,雨次,子涵,一诺
https://moment.rednet.cn/pc/content/2021/02/08/8986793.html
